CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,PTRATIO,B,LSTAT
0.02009,3.192922374429224,2.68,0.0,0.4161,6.233212184873957,31.9,5.118,4.0,14.7,390.55,2.88
6.53876,0.0,18.1,0.0,0.631,7.016,97.5,1.2024,24.0,20.2,392.05,2.96
3.67367,0.0,18.1,0.0,0.583,6.312,51.9,3.9917,24.0,20.2,388.62,10.58
0.05188,0.0,4.49,0.0,0.449,6.015,45.1,4.4272,3.0,18.5,395.99,12.86
0.10612,30.0,4.93,0.0,0.428,6.095,65.1,6.3361,6.0,16.6,394.62,12.4
7.40389,0.0,18.1,0.0,0.597,5.617,97.9,1.4547,24.0,20.2,388.70571095571,26.4
8.24809,0.0,18.1,0.0,0.713,7.393,99.3,2.4527,24.0,20.2,375.87,16.74
0.34109,0.0,7.38,0.0,0.493,6.415,40.1,4.7211,5.0,19.6,396.9,6.12
0.26363,0.0,8.56,0.0,0.52,6.229,91.2,2.5451,5.0,20.9,391.23,15.55
0.02875,28.0,15.04,0.0,0.464,6.211,28.9,3.6659,4.0,18.2,396.33,6.21
0.61154,20.0,3.97,0.0,0.647,6.233212184873957,86.9,1.801,5.0,18.624643584521394,389.7,5.12
0.02899,3.192922374429224,1.25,0.0,0.429,6.939,34.5,8.7921,1.0,19.7,389.85,5.89
0.04297,3.192922374429224,5.32,0.0,0.405,6.565,22.9,7.3172,6.0,16.6,371.72,9.51
0.07165,0.0,25.65,0.0,0.581,6.004,84.1,2.1974,2.0,19.1,377.67,14.27
0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,5.0,15.2,386.71,17.1
0.06642,0.0,4.05,0.0,0.51,6.86,74.4,2.9153,5.0,16.6,391.27,6.92
1.1971470294784572,0.0,18.1,0.0,0.74,6.251,96.6,2.198,24.0,20.2,388.52,16.44
0.6718,0.0,18.1,0.0,0.74,6.459,94.8,1.9879,24.0,20.2,388.70571095571,23.98
4.26131,0.0,18.1,0.0,0.77,6.112,81.3,2.5091,24.0,20.2,390.74,12.67
0.03705,20.0,3.33,0.0,0.4429,6.968,37.2,5.2447,5.0,14.9,392.23,4.59
0.53412,20.0,3.97,0.0,0.647,7.52,89.4,2.1398,5.0,18.624643584521394,388.37,7.26
1.05393,0.0,8.14,0.0,0.538,5.935,29.3,4.4986,4.0,21.0,386.85,6.58
1.1971470294784572,0.0,18.1,0.0,0.597,6.233212184873957,100.0,1.5539,24.0,20.2,388.70571095571,12.340561122244491
8.49213,0.0,18.1,0.0,0.584,6.348,86.1,2.0527,24.0,20.2,388.70571095571,17.64
0.12744,0.0,6.91,0.0,0.448,6.77,2.9,5.7209,3.0,17.9,385.41,4.84
1.1971470294784572,0.0,18.1,0.0,0.584,6.833,94.3,2.0882,24.0,20.2,388.70571095571,19.69
0.12932,0.0,13.92,0.0,0.437,6.678,31.1,5.9604,4.0,16.0,396.9,6.27
0.19186,0.0,7.38,0.0,0.493,6.431,14.7,5.4159,5.0,19.6,393.68,5.08
0.0456,0.0,13.89,0.0,0.55,5.888,56.0,3.1121,5.0,16.4,392.8,13.51
0.03961,0.0,5.19,0.0,0.515,6.037,34.5,5.9853,5.0,20.2,396.9,8.01
0.04527,0.0,11.93,0.0,0.573,6.12,76.7,2.2875,1.0,21.0,396.9,9.08
0.57834,20.0,3.97,0.0,0.575,6.233212184873957,67.0,2.4216,5.0,18.624643584521394,384.54,7.44
2.44953,0.0,19.58,0.0,0.605,6.402,95.2,2.2625,5.0,14.7,388.70571095571,11.32
0.5405,20.0,3.97,0.0,0.575,7.47,52.6,2.872,5.0,18.624643584521394,390.3,3.16
0.11069,0.0,13.89,0.0,0.55,5.951,93.8,2.8893,5.0,16.4,396.9,17.92
1.1971470294784572,0.0,18.1,0.0,0.713,6.728,94.1,2.4961,24.0,20.2,388.70571095571,18.71
0.17142,0.0,6.91,0.0,0.448,5.682,33.8,5.1004,3.0,17.9,396.9,10.21
2.14918,0.0,19.58,0.0,0.871,5.709,98.5,1.6232,5.0,14.7,388.70571095571,15.79
0.08826,0.0,10.81,0.0,0.413,6.417,6.6,5.2873,4.0,19.2,383.73,6.72
0.06127,3.192922374429224,6.41,0.0,0.447,6.826,27.6,4.8628,4.0,17.6,393.45,4.16
2.33099,0.0,19.58,0.0,0.871,5.186,93.8,1.5296,5.0,14.7,356.99,28.32
0.12329,0.0,10.01,0.0,0.547,5.913,92.9,2.3534,6.0,17.8,394.95,16.21
1.1971470294784572,0.0,18.1,0.0,0.597,6.852,100.0,1.4655,24.0,20.2,388.70571095571,19.78
0.04684,0.0,3.41,0.0,0.489,6.417,66.1,3.0923,2.0,17.8,392.18,8.81
1.1971470294784572,0.0,18.1,0.0,0.671,7.313,97.9,1.3163,24.0,20.2,396.9,13.44
1.1971470294784572,0.0,18.1,0.0,0.58,5.713,56.7,2.8237,24.0,20.2,396.9,14.76
0.05646,0.0,12.83,0.0,0.437,6.232,53.7,5.0141,5.0,18.7,386.4,12.34
1.27346,0.0,19.58,0.0,0.605,6.25,92.6,1.7984,5.0,14.7,388.70571095571,5.5
0.09849,0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2.0,19.1,379.38,17.58
1.80028,0.0,19.58,0.0,0.605,5.877,79.2,2.4259,5.0,14.7,388.70571095571,12.14
0.1146,20.0,6.96,0.0,0.464,6.538,58.7,3.9175,3.0,18.6,394.96,7.73
0.06888,0.0,2.46,0.0,0.488,6.144,62.2,2.5979,3.0,17.8,396.9,9.45
0.14103,0.0,13.92,0.0,0.437,5.79,58.0,6.32,4.0,16.0,396.9,15.84
5.58107,0.0,18.1,0.0,0.713,6.436,87.9,2.3158,24.0,20.2,388.70571095571,16.22
0.37578,0.0,10.59,0.0,0.489,5.404,88.6,3.665,4.0,18.6,395.24,23.98
0.14932,25.0,5.13,0.0,0.453,5.741,66.2,7.2254,8.0,19.7,395.11,13.15
0.03049,3.192922374429224,3.78,0.0,0.484,6.874,28.1,6.4654,5.0,17.6,387.97,4.61
1.1971470294784572,0.0,18.1,0.0,0.718,6.411,100.0,1.8589,24.0,20.2,388.70571095571,15.02
2.63548,0.0,9.9,0.0,0.544,4.973,37.8,2.5194,4.0,18.4,350.45,12.64
0.97617,0.0,21.89,0.0,0.624,5.757,98.4,2.346,4.0,21.2,388.70571095571,17.31
0.62356,0.0,6.2,0.0,0.507,6.879,77.7,3.2721,8.0,17.4,390.39,9.93
1.1971470294784572,0.0,18.1,0.0,0.671,6.649,93.3,1.3449,24.0,20.2,363.02,23.24
3.56868,0.0,18.1,0.0,0.58,6.437,75.0,2.8965,24.0,20.2,393.37,14.36
0.22876,0.0,8.56,0.0,0.52,6.405,85.4,2.7147,5.0,20.9,388.70571095571,10.63
0.07503,3.192922374429224,2.18,0.0,0.472,7.42,71.9,3.0992,7.0,18.4,396.9,6.47
0.24522,0.0,9.9,0.0,0.544,5.782,71.7,4.0317,4.0,18.4,396.9,15.94
5.66998,0.0,18.1,0.0,0.631,6.683,96.8,1.3567,24.0,20.2,375.33,3.73
0.43571,0.0,10.59,0.0,0.489,5.344,100.0,3.875,4.0,18.6,396.9,23.09
1.1971470294784572,0.0,18.1,0.0,0.631,6.233212184873957,100.0,1.5106,24.0,20.2,388.70571095571,13.33
1.1971470294784572,0.0,18.1,0.0,0.693,6.233212184873957,100.0,1.6582,24.0,20.2,388.70571095571,12.340561122244491
1.00245,0.0,8.14,0.0,0.538,6.674,87.3,4.239,4.0,21.0,380.23,11.98
1.1971470294784572,0.0,18.1,0.0,0.679,6.434,100.0,1.8347,24.0,20.2,388.70571095571,29.05
0.76162,20.0,3.97,0.0,0.647,5.56,62.8,1.9865,5.0,18.624643584521394,392.4,10.45
1.34284,0.0,19.58,0.0,0.605,6.066,100.0,1.7573,5.0,14.7,353.89,6.43
0.17446,0.0,10.59,0.0,0.489,5.96,92.1,3.8771,4.0,18.6,393.25,17.27
0.12757,30.0,4.93,0.0,0.428,6.393,7.8,7.0355,6.0,16.6,374.71,5.19
2.3139,0.0,19.58,0.0,0.605,5.88,97.3,2.3887,5.0,14.7,348.13,12.03
1.1971470294784572,0.0,18.1,0.0,0.74,6.406,97.2,2.0651,24.0,20.2,385.96,19.52
1.15172,0.0,8.14,0.0,0.538,5.701,95.0,3.7872,4.0,21.0,358.77,18.35
0.01501,3.192922374429224,2.01,0.0,0.435,6.635,29.7,8.344,4.0,17.0,390.94,5.99
0.07896,0.0,12.83,0.0,0.437,6.273,6.0,4.2515,5.0,18.7,394.92,6.78
0.18337,0.0,27.74,0.0,0.609,5.414,98.3,1.7554,4.0,20.1,388.70571095571,23.97
0.22969,0.0,10.59,0.0,0.489,6.326,52.5,4.3549,4.0,18.6,394.87,10.97
0.03871,3.192922374429224,5.32,0.0,0.405,6.209,31.3,7.3172,6.0,16.6,396.9,7.14
1.1971470294784572,0.0,18.1,0.0,0.7,5.036,97.0,1.77,24.0,20.2,396.9,25.68
0.15038,0.0,25.65,0.0,0.581,5.856,97.0,1.9444,2.0,19.1,370.31,25.41
0.16211,20.0,6.96,0.0,0.464,6.24,16.3,4.429,3.0,18.6,396.9,6.59
4.89822,0.0,18.1,0.0,0.631,4.97,100.0,1.3325,24.0,20.2,375.52,3.26
0.21038,20.0,3.33,0.0,0.4429,6.812,32.2,4.1007,5.0,14.9,396.9,4.85
0.19539,0.0,10.81,0.0,0.413,6.245,6.2,5.2873,4.0,19.2,377.17,7.54
0.26838,0.0,9.69,0.0,0.585,5.794,70.6,2.8927,6.0,19.2,396.9,14.1
1.25179,0.0,8.14,0.0,0.538,5.57,98.1,3.7979,4.0,21.0,376.57,21.02
0.14476,0.0,10.01,0.0,0.547,5.731,65.2,2.7592,6.0,17.8,391.5,13.61
4.87141,0.0,18.1,0.0,0.614,6.484,93.6,2.3053,24.0,20.2,396.21,18.68
0.25915,0.0,21.89,0.0,0.624,5.693,96.0,1.7883,4.0,21.2,392.11,17.19
0.26938,0.0,9.9,0.0,0.544,6.266,82.8,3.2628,4.0,18.4,393.39,7.9
1.83377,0.0,19.58,0.0,0.605,6.233212184873957,98.2,2.0407,5.0,14.7,389.61,1.92
0.03427,0.0,5.19,0.0,0.515,5.869,46.3,5.2311,5.0,20.2,396.9,9.8
0.55778,0.0,21.89,0.0,0.624,6.335,98.2,2.1107,4.0,21.2,394.67,16.96
1.1971470294784572,0.0,18.1,0.0,0.74,6.152,100.0,1.9142,24.0,20.2,388.70571095571,26.45
0.03551,25.0,4.86,0.0,0.426,6.167,46.7,5.4007,4.0,19.0,390.64,7.51
0.12579,3.192922374429224,3.44,0.0,0.437,6.556,29.1,4.5667,5.0,15.2,382.84,4.56
6.28807,0.0,18.1,0.0,0.74,6.341,96.4,2.072,24.0,20.2,388.70571095571,17.79
0.65665,20.0,3.97,0.0,0.647,6.842,100.0,2.0107,5.0,18.624643584521394,391.93,6.9
0.03466,3.192922374429224,6.06,0.0,0.4379,6.031,23.3,6.6407,1.0,16.9,362.25,7.83
0.19657,22.0,5.86,0.0,0.431,6.226,79.2,8.0555,7.0,19.1,376.14,10.15
0.54011,20.0,3.97,0.0,0.647,7.203,81.8,2.1121,5.0,18.624643584521394,392.8,9.59
0.06162,0.0,4.39,0.0,0.442,5.898,52.3,8.0136,3.0,18.8,364.61,12.67
0.10574,0.0,27.74,0.0,0.609,5.983,98.8,1.8681,4.0,20.1,390.11,18.07
0.09103,0.0,2.46,0.0,0.488,7.155,92.2,2.7006,3.0,17.8,394.12,4.82
0.03113,0.0,4.39,0.0,0.442,6.014,48.5,8.0136,3.0,18.8,385.64,10.53
4.66883,0.0,18.1,0.0,0.713,5.976,87.9,2.5806,24.0,20.2,388.70571095571,19.01
0.08265,0.0,13.92,0.0,0.437,6.127,18.4,5.5027,4.0,16.0,396.9,8.58
1.1971470294784572,0.0,18.1,0.0,0.693,5.987,100.0,1.5888,24.0,20.2,396.9,26.77
0.05735,0.0,4.49,0.0,0.449,6.63,56.1,4.4377,3.0,18.5,392.3,6.53
0.09266,3.192922374429224,6.09,0.0,0.433,6.495,18.4,5.4917,7.0,16.1,383.61,8.67
1.42502,0.0,19.58,0.0,0.871,6.51,100.0,1.7659,5.0,14.7,364.31,7.39
0.05425,0.0,4.05,0.0,0.51,6.315,73.4,3.3175,5.0,16.6,395.6,6.29
0.12802,0.0,8.56,0.0,0.52,6.474,97.1,2.4329,5.0,20.9,395.24,12.27
0.1029,30.0,4.93,0.0,0.428,6.358,52.9,7.0355,6.0,16.6,372.75,11.22
0.13914,0.0,4.05,0.0,0.51,5.572,88.5,2.5961,5.0,16.6,396.9,14.69
0.17134,0.0,10.01,0.0,0.547,5.928,88.2,2.4631,6.0,17.8,344.91,15.76
0.06417,0.0,5.96,0.0,0.499,5.933,68.2,3.3603,5.0,19.2,396.9,9.68
0.08014,0.0,5.96,0.0,0.499,5.85,41.5,3.9342,5.0,19.2,396.9,8.77
1.61282,0.0,8.14,0.0,0.538,6.096,96.9,3.7598,4.0,21.0,388.70571095571,20.34
0.02731,0.0,7.07,0.0,0.469,6.421,78.9,4.9671,2.0,17.8,396.9,9.14
0.40202,0.0,9.9,0.0,0.544,6.382,67.2,3.5325,4.0,18.4,395.21,10.36
6.39312,0.0,18.1,0.0,0.584,6.162,97.4,2.206,24.0,20.2,388.70571095571,24.1
0.11432,0.0,8.56,0.0,0.52,6.781,71.3,2.8561,5.0,20.9,395.58,7.67
1.6566,0.0,19.58,0.0,0.871,6.122,97.3,1.618,5.0,14.7,372.8,14.1
1.1971470294784572,0.0,18.1,0.0,0.659,6.233212184873957,100.0,1.1781,24.0,20.2,370.22,23.34
7.99248,0.0,18.1,0.0,0.7,5.52,100.0,1.5331,24.0,20.2,396.9,24.56
0.10959,0.0,11.93,0.0,0.573,6.794,89.3,2.3889,1.0,21.0,393.45,6.48
0.17783,0.0,9.69,0.0,0.585,5.569,73.5,2.3999,6.0,19.2,395.77,15.1
3.77498,0.0,18.1,0.0,0.655,5.952,84.7,2.8715,24.0,20.2,388.70571095571,17.15
0.84054,0.0,8.14,0.0,0.538,5.599,85.7,4.4546,4.0,21.0,388.70571095571,16.51
5.82115,0.0,18.1,0.0,0.713,6.513,89.9,2.8016,24.0,20.2,393.82,10.29
6.96215,0.0,18.1,0.0,0.7,5.713,97.0,1.9265,24.0,20.2,394.43,17.11
1.1971470294784572,0.0,18.1,0.0,0.713,6.185,98.7,2.2616,24.0,20.2,396.9,18.13
0.17331,0.0,9.69,0.0,0.585,5.707,54.0,2.3817,6.0,19.2,396.9,12.01
0.15086,0.0,27.74,0.0,0.609,5.454,92.7,1.8209,4.0,20.1,395.09,18.06
0.40771,0.0,6.2,0.0,0.507,6.164,91.3,3.048,8.0,17.4,395.24,21.46
0.13587,0.0,10.59,0.0,0.489,6.064,59.1,4.2392,4.0,18.6,381.32,14.66
1.1971470294784572,0.0,18.1,0.0,0.7,5.0,89.5,1.5184,24.0,20.2,396.9,12.340561122244491
4.83567,0.0,18.1,0.0,0.583,5.905,53.2,3.1523,24.0,20.2,388.22,11.45
1.1971470294784572,0.0,18.1,0.0,0.584,5.837,59.7,1.9976,24.0,20.2,388.70571095571,15.69
1.1971470294784572,0.0,18.1,0.0,0.7,5.277,98.1,1.4261,24.0,20.2,396.9,30.81
1.23247,0.0,8.14,0.0,0.538,6.142,91.7,3.9769,4.0,21.0,396.9,18.72
0.1415,0.0,6.91,0.0,0.448,6.169,6.6,5.7209,3.0,17.9,383.37,5.81
0.08829,12.5,7.87,0.0,0.524,6.012,66.6,5.5605,5.0,15.2,395.6,12.43
0.05083,0.0,5.19,0.0,0.515,6.316,38.1,6.4584,5.0,20.2,389.71,5.68
0.0566,0.0,3.41,0.0,0.489,7.007,86.3,3.4217,2.0,17.8,396.9,5.5
0.08873,21.0,5.64,0.0,0.439,5.963,45.7,6.8147,4.0,16.8,395.56,13.45
0.04113,25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4.0,19.0,396.9,5.29
0.66351,20.0,3.97,0.0,0.647,7.333,100.0,1.8946,5.0,18.624643584521394,383.29,7.79
0.0187,3.192922374429224,4.15,0.0,0.429,6.516,27.7,8.5353,4.0,17.9,392.43,6.36
0.02187,3.192922374429224,2.93,0.0,0.401,6.8,9.9,6.2196,1.0,15.6,393.37,5.03
2.37934,0.0,19.58,0.0,0.871,6.13,100.0,1.4191,5.0,14.7,388.70571095571,27.8
0.0136,3.192922374429224,4.0,0.0,0.41,5.888,47.6,7.3197,3.0,21.1,396.9,14.8
0.57529,0.0,6.2,0.0,0.507,6.233212184873957,73.3,3.8384,8.0,17.4,385.91,2.47
0.04379,3.192922374429224,3.37,0.0,0.398,5.787,31.1,6.6115,4.0,16.1,396.9,10.24
4.42228,0.0,18.1,0.0,0.584,6.003,94.5,2.5403,24.0,20.2,388.70571095571,21.32
0.67191,0.0,8.14,0.0,0.538,5.813,90.3,4.682,4.0,21.0,376.88,14.81
1.49632,0.0,19.58,0.0,0.871,5.404,100.0,1.5916,5.0,14.7,388.70571095571,13.28
0.06047,0.0,2.46,0.0,0.488,6.153,68.8,3.2797,3.0,17.8,387.11,13.15
1.1971470294784572,0.0,18.1,0.0,0.668,4.906,100.0,1.1742,24.0,20.2,396.9,12.340561122244491
0.09299,0.0,25.65,0.0,0.581,5.961,92.9,2.0869,2.0,19.1,378.09,17.93
0.11504,0.0,2.89,0.0,0.445,6.163,69.6,3.4952,2.0,18.0,391.83,11.34
0.09068,3.192922374429224,3.44,0.0,0.437,6.951,21.5,6.4798,5.0,15.2,377.68,5.1
0.11132,0.0,27.74,0.0,0.609,5.983,83.5,2.1099,4.0,20.1,396.9,13.35
0.05059,0.0,4.49,0.0,0.449,6.389,48.0,4.7794,3.0,18.5,396.9,9.62
2.77974,0.0,19.58,0.0,0.871,4.903,97.8,1.3459,5.0,14.7,396.9,29.29
0.06076,0.0,11.93,0.0,0.573,6.976,91.0,2.1675,1.0,21.0,396.9,5.64
8.05579,0.0,18.1,0.0,0.584,5.427,95.4,2.4298,24.0,20.2,352.58,18.14
0.22438,0.0,9.69,0.0,0.585,6.027,79.7,2.4982,6.0,19.2,396.9,14.33
0.29916,20.0,6.96,0.0,0.464,5.856,42.1,4.429,3.0,18.6,388.65,13.0
